паев|1|паевые
означа|4|означает,означает,означает,означает
вол|2|воле,воле
сомнительн|1|сомнительные
несправедлив|3|несправедливым,несправедливо,несправедливо
свойств|2|свойствен,свойствен
репрессивн|1|репрессивных
покушен|1|покушение
мобилизацион|1|мобилизационная
вынужда|2|вынуждало,вынуждало
воссоединен|1|воссоединение
дава|4|давала,дававший,давали,давались
отоварива|1|отоваривается
плацдарм|1|плацдарма
завис|4|зависит,зависит,зависит,зависят
давн|4|давно,давно,давно,давно
ушел|1|ушел
вынужден|2|вынужденных,вынужденный
заканчива|1|заканчивается
талон|6|талоны,талонная,талон,талонов,талонам,талоны
потребова|1|потребовать
составля|3|составлявшее,составлял,составлял
пол|2|полем,поле
парт|3|партии,партии,партии
доход|9|дохода,доходов,доходам,доходов,доходами,доходы,доходов,доходов,доходов
третьяковск|1|третьяковской
наук|2|науки,науки
воссоздан|1|воссоздание
под|10|под,под,под,под,под,под,под,под,под,под
поступа|1|поступают
руководител|3|руководителей,руководителей,руководителями
науч|1|научил
нарушен|2|нарушение,нарушений
соглашен|7|соглашения,соглашения,соглашения,соглашение,соглашение,соглашение,соглашений
пот|12|потом,потому,потому,потому,потому,потому,потому,потому,потому,потом,потому,потом
чечн|7|чечни,чечне,чечни,чечни,чечне,чечни,чечни
пор|8|пор,порах,пор,пор,пор,пора,пора,пора
ломк|1|ломки
ограничива|1|ограничивают
математическ|1|математические
вершин|1|вершину
инвалид|1|инвалидов
смен|2|смены,смену
превра|1|превращая
системн|3|системного,системного,системного
подотчетн|1|подотчетной
две|3|две,две,две
участ|2|участились,участии
металлургическ|1|металлургической
осозна|1|осознать
останет|1|останется
пожелан|1|пожелания
справ|1|справиться
движен|5|движение,движений,движения,движение,движением
высочайш|1|высочайшей
остатк|1|остатки
выйт|1|выйти
выезд|1|выезда
результат|17|результатов,результате,результат,результате,результате,результаты,результатом,результаты,результата,результата,результате,результатом,результаты,результат,результаты,результаты,результате
структур|11|структур,структуры,структурам,структуре,структура,структур,структуру,структуры,структур,структуры,структуры
отвеча|5|отвечать,отвечающей,отвечает,отвечать,отвечать
препон|1|препоны
изучен|1|изучения
лесник|1|лесникам
над|20|над,над,надо,над,надо,над,надо,надо,надо,надо,надо,над,надо,надо,надо,надо,надо,надо,надо,надо
успешн|1|успешная
ориентирова|3|ориентированные,ориентирована,ориентированных
нам|16|нам,нам,нами,нам,нам,нам,нам,нам,нами,нам,нам,нам,нам,нам,нам,нам
путч|1|путча
законотворчеств|3|законотворчество,законотворчеством,законотворчества
взят|1|взять
максимальн|1|максимальную
новоогаревск|1|новоогаревский
