выполн|1|выполнить
означа|1|означает
препарат|2|препаратов,препаратов
смеша|1|смешанной
несправедлив|1|несправедливо
посткризисн|1|посткризисный
господдержк|1|господдержку
дава|3|давать,давайте,давал
завис|3|зависит,зависит,зависят
давн|2|давно,давно
вооруж|3|вооруж,вооруж,вооруж
составля|4|составляет,составляющих,составляют,составляющей
парт|3|партий,партии,партий
доход|9|доходы,доходы,доходы,доходов,доходов,дохода,доходов,доходов,доходы
приватизац|3|приватизации,приватизации,приватизации
учрежд|1|учрежд
совершенству|1|совершенствуем
госкомпан|1|госкомпаний
под|5|под,под,под,подъ,под
руководител|2|руководителям,руководители
науч|1|научили
соглашен|1|соглашение
пот|2|потому,потому
пор|2|пора,пора
знаменит|1|знаменитостей
курен|1|курения
специалист|1|специалистами
системн|2|системным,системных
участ|4|участия,участие,участия,участия
вычислительн|1|вычислительных
дипломат|1|дипломатию
останет|1|останется
команд|1|команда
справ|1|справимся
говор|7|говорят,говорил,говорил,говоря,говорил,говорил,говорил
муниципалитет|2|муниципалитетов,муниципалитетов
выйт|2|выйти,выйти
результат|11|результат,результаты,результатов,результаты,результате,результате,результаты,результате,результаты,результаты,результатов
сюд|1|сюда
структур|4|структурах,структуру,структуры,структуры
отвеча|2|отвечает,отвечающих
исследовател|1|исследователи
выпускник|2|выпускников,выпускников
диспансеризац|1|диспансеризацию
над|27|надо,надеюсь,надеюсь,надо,над,надо,надо,надеюсь,надо,надо,надо,надо,надо,надеюсь,надо,надо,надо,надо,надо,надо,надо,над,над,над,над,надо,над
успешн|2|успешность,успешное
ориентирова|1|ориентированы
цифров|3|цифровых,цифровой,цифрового
нам|17|нам,нам,нам,нам,нам,нам,нам,нам,нам,нами,нам,нам,нам,нам,нам,нам,нам
максимальн|3|максимально,максимально,максимально
полага|4|полагаю,полагаю,полагаю,полагаю
средств|11|средств,средств,средства,средства,средств,средства,средств,средств,средств,средств,средств
внешнеполитическ|1|внешнеполитического
средн|3|среднего,среднего,среднего
предлага|3|предлагаю,предлагаю,предлагаю
сбор|1|сбор
нетяжк|1|нетяжкие
у|19|у,у,у,у,у,у,у,у,у,у,у,у,у,у,у,у,у,у,у
предпринимательск|1|предпринимательской
высок|7|высок,высоких,высоких,высоких,высокое,высоких,высокий
жител|1|жителям
нац|3|нации,наций,нации
нат|1|нато
необходим|22|необходимые,необходима,необходимо,необходимо,необходимые,необходимо,необходимо,необходимо,необходимых,необходимо,необходимо,необходимо,необходимым,необходимо,необходимы,необходимо,необходимых,необходимое,необходимости,необходимо,необходимо,необходимо
