выполн|4|выполним,выполним,выполним,выполним
означа|3|означает,означает,означает
смеша|1|смешанной
националист|2|националисты,националистами
дава|3|давайте,давайте,давали
завис|1|зависит
лифт|1|лифтом
заканчива|2|заканчивается,заканчивает
затрудн|1|затрудн
планк|2|планке,планку
вооруж|1|вооруж
пок|7|пока,пока,пока,пока,пока,пока,пока
пол|1|поля
парт|6|партии,партий,партий,партий,партии,партия
доход|10|доход,доходами,доходов,доходов,доходами,доходов,доход,доходами,доходах,доходов
обогащен|1|обогащения
аплодирова|1|аплодировать
прирост|1|прирост
наук|6|науки,науки,науки,науку,науки,науки
воссоздан|1|воссозданию
под|2|подъ,подъ
поступа|1|поступать
руководител|7|руководителей,руководителей,руководителей,руководителей,руководителей,руководители,руководителем
призва|1|призвана
соглашен|1|соглашений
пот|11|потому,потому,потому,потому,потому,потому,потому,потому,потому,потому,потом
пор|3|порой,пор,пор
пос|4|пос,пос,пос,пос
поч|4|поч,почему,почему,почему
математическ|1|математическое
курен|1|курение
новаторск|1|новаторских
специалист|3|специалистов,специалистами,специалистам
участ|4|участия,участие,участии,участие
дипломат|1|дипломатии
выплат|1|выплаты
останет|1|останется
команд|1|команд
протека|1|протекающих
безнад|1|безнад
движен|3|движения,движению,движение
автомоб|1|автомобили
муниципалитет|1|муниципалитетов
результат|10|результате,результатов,результаты,результатов,результаты,результат,результат,результате,результат,результатах
сюд|2|сюда,сюда
структур|6|структурах,структурах,структура,структуры,структур,структуры
отвеча|3|отвечать,отвечают,отвечать
смех|1|смех
приблиз|1|приблизились
выпускник|2|выпускников,выпускники
над|21|надо,надо,надо,надо,надо,надо,надо,надо,надо,над,над,над,над,надо,над,над,над,надо,над,надо,над
успешн|1|успешно
ориентирова|2|ориентированного,ориентированные
нам|21|нам,нам,нам,нам,нам,нам,нам,нам,нам,нам,нам,нам,нам,нам,нам,нам,нам,нам,нам,нам,нами
максимальн|1|максимально
полага|1|полагаю
средств|10|средствам,средства,средств,средств,средства,средств,средства,средствам,средства,средства
средн|12|среднего,среднем,среднего,среднего,среднего,среднему,средней,средний,среднего,среднем,средними,среднем
образован|16|образования,образования,образование,образования,образования,образование,образования,образования,образование,образования,образования,образованию,образованию,образование,образования,образования
общенародн|1|общенародная
перееха|3|переехать,переехать,переехать
у|25|у,у,у,у,у,у,у,у,у,у,у,у,у,у,у,у,у,у,у,у,у,у,у,у,у
сми|4|сми,сми,сми,сми
предпринимательск|3|предпринимательскому,предпринимательской,предпринимательской
высок|10|высоких,высок,высокое,высокой,высокими,высокие,высоких,высока,высокую,высокими
жител|1|жителям
нац|4|нации,нация,нации,нация
необходим|16|необходимая,необходимый,необходимым,необходимости,необходимости,необходимым,необходимости,необходимо,необходимы,необходимо,необходимое,необходимо,необходимости,необходимо,необходимо,необходимо
нас|33|нас,нас,нас,нас,нас,нас,нас,нас,нас,нас,нас,нас,нас,нас,нас,нас,нас,нас,нас,нас,нас,нас,нас,нас,нас,нас,нас,нас,нас,нас,нас,нас,нас
министр|1|министр
спор|4|споров,спор,споры,споров
